ССылка на страницу; email; Телефон; Глубина
 https://www.susu.ru/ru; info[at]susu[dot]ru press[at]susu[dot]ru support[at]susu[dot]ru ; +7-351-2679900 +7 (351) 267-99-00 ;0;

|-- https://www.susu.ru/ru/ru/universitet/organy-upravleniya-universitetom;|-- info[at]susu[dot]ru press[at]susu[dot]ru support[at]susu[dot]ru ;|-- +7-351-2679900 +7 (351) 267-99-00 ;1;

|-- https://www.susu.ru/ru/ru/university/our-susu;|-- info[at]susu[dot]ru press[at]susu[dot]ru support[at]susu[dot]ru ;|-- +7-351-2679900 +7 (351) 267-99-00 ;1;

|-- https://www.susu.ru/ru/ru/structure;|-- info[at]susu[dot]ru press[at]susu[dot]ru support[at]susu[dot]ru ;|-- +7-351-2679900 +7 (351) 267-99-00 ;1;

|-- https://www.susu.ru/ru/ru/partners;|-- info[at]susu[dot]ru press[at]susu[dot]ru support[at]susu[dot]ru ;|-- +7-351-2679900 +7 (351) 267-99-00 ;1;

|-- https://www.susu.ru/ru/ru/university/rq;|-- info[at]susu[dot]ru press[at]susu[dot]ru support[at]susu[dot]ru ;|-- +7-351-2679900 +7 (351) 267-99-00 ;1;

|-- https://www.susu.ru/ru/ru/contacts;|-- info[at]susu[dot]ru press[at]susu[dot]ru support[at]susu[dot]ru ;|-- +7-351-2679900 +7 (351) 267-99-00 ;1;

|-- https://www.susu.ru/ru/ru/staff/telefonnyy-spravochnik;|-- info[at]susu[dot]ru press[at]susu[dot]ru support[at]susu[dot]ru ;|-- +7-351-2679900 +7 (351) 267-99-00 ;1;

|-- https://www.susu.ru/ru/ru/obrazovanie/bakalavriat;|-- info[at]susu[dot]ru press[at]susu[dot]ru support[at]susu[dot]ru ;|-- +7-351-2679900 +7 (351) 267-99-00 ;1;

|-- https://www.susu.ru/ru/ru/ru/education/bakalavriat-i-magistratura/magister;|-- info[at]susu[dot]ru press[at]susu[dot]ru support[at]susu[dot]ru ;|-- +7-351-2679900 +7 (351) 267-99-00 ;1;

