ССылка на страницу; email; Телефон; Глубина
 https://www.susu.ru; info[at]susu[dot]ru press[at]susu[dot]ru support[at]susu[dot]ru ; +7-351-2679900 +7 (351) 267-99-00 ;0;

|-- https://www.susu.ru/ru/universitet/organy-upravleniya-universitetom;|-- info[at]susu[dot]ru press[at]susu[dot]ru support[at]susu[dot]ru ;|-- +7-351-2679900 +7 (351) 267-99-00 ;1;

|-- https://www.susu.ru/ru/university/our-susu;|-- info[at]susu[dot]ru press[at]susu[dot]ru support[at]susu[dot]ru ;|-- +7-351-2679900 +7 (351) 267-99-00 ;1;

|-- https://www.susu.ru/ru/structure;|-- info[at]susu[dot]ru press[at]susu[dot]ru support[at]susu[dot]ru ;|-- +7-351-2679900 +7 (351) 267-99-00 ;1;

|-- https://www.susu.ru/ru/partners;|-- info[at]susu[dot]ru press[at]susu[dot]ru support[at]susu[dot]ru ;|-- +7-351-2679900 +7 (351) 267-99-00 ;1;

|-- https://www.susu.ru/ru/university/rq;|-- info[at]susu[dot]ru press[at]susu[dot]ru support[at]susu[dot]ru ;|-- +7-351-2679900 +7 (351) 267-99-00 ;1;

|-- https://www.susu.ru/ru/contacts;|-- info[at]susu[dot]ru prkom[at]susu[dot]ru international[at]susu[dot]ru makletcovaea[at]susu[dot]ru iodo[at]susu[dot]ru press[at]susu[dot]ru studgorogok[at]susu[dot]ru medcenter[at]susu[dot]ru support[at]susu[dot]ru info[at]susu[dot]ru press[at]susu[dot]ru support[at]susu[dot]ru ;|-- +7 (351) 267-99-00  +7 (351) 267-99-00  +7 (351) 267-94-52 ( +7 (351) 267-99-00  +7 (351) 267-99-00  +7 (351) 267-99-00  +7 (351) 267-99-00  +7 (351) 267-94-52 ( +7 +7 +7 (351) 267-94-52 +7 (351) 267-94-56 +7 (351) 265-65-04 +7 (351) 267-95-01 +7 (351) 267-95-01 +7 (351) 267-98-10 +7 (351) 267-97-76 +7 +7 +7 +7 +7 +7 +7 +7 +7 +7 +7 +7-351-2679900 +7 (351) 267-99-00 ;1;

|-- https://www.susu.ru/ru/staff/telefonnyy-spravochnik;|-- info[at]susu[dot]ru press[at]susu[dot]ru support[at]susu[dot]ru ;|-- +7-351-2679900 +7 (351) 267-99-00 ;1;

|-- https://www.susu.ru/ru/obrazovanie/bakalavriat;|-- info[at]susu[dot]ru press[at]susu[dot]ru support[at]susu[dot]ru ;|-- +7-351-2679900 +7 (351) 267-99-00 ;1;

|-- https://www.susu.ru/ru/ru/education/bakalavriat-i-magistratura/magister;|-- info[at]susu[dot]ru press[at]susu[dot]ru support[at]susu[dot]ru ;|-- +7-351-2679900 +7 (351) 267-99-00 ;1;

